Author	Quote
Seymoure Cray	#3 pencils and quadrille pads.
Lisa Kleypas	... I discovered life sometimes has a way of giving you what you need, but not in the form you expect.
Robin Wall Kimmerer	...all flourishing is mutual.
Wendelin Van Draanen	...Next time you're faced with a choice, do the right thing. It hurts everyone less in the long run.
David Mitchell	...there ain't no journey what don't change you some.
Mark Twain	A banker is a fellow who lends you his umbrella when the sun is shining, but wants it back the minute it begins to rain.
Gordana Biernat	A belief is simply a thought that seems true to YOU.
Carl Sagan	A book is proof that humans are capable of working magic.
Unknown	A cauliflower is a plant explosion in extremely slow motion.
Jack Dempsey	A champion is someone who gets up when he can't.
Brian Tracy	A clear vision, backed by definite plans, gives you a tremendous feeling of confidence and personal power.
ST. CLEMENT	A companion is but another self; wherefore it is an argument that a man is wicked if he keep company with the wicked.
Richelle E. Goodrich	A daily dose of daydreaming heals the heart, soothes the soul, and strengthens the imagination.
Henry Kissinger	A diamond is merely a lump of coal that did well under pressure.
Johnny Depp	A dishonest man you can always trust to be dishonest.
Donna McGoff	A dream is a seed.Vision plants it.Imagination nurtures growth.Opportunities create blooms.Thoughts become things!
Walt Disney Company	A dream is a wish your heart makes, when you're fast asleep.
	A family is a place where principles are hammered and honed on the anvil of everyday living.
Jim Morrison	A friend is someone who gives you total freedom to be yourself.
Unknown	A friend of mine tried to annoy me with bird puns, but I soon realized that toucan play at that game.
Publilius Syrus	A friendship that can end never really began.
Unknown	A genius lives in every one of us. Each day more and more heavily…
Antoine de Saint-Exupéry	A goal without a plan is just a wish.
William Styron	A good book should leave you, slightly exhausted at the end. You live several lives while reading it.
Arthur Brisbane	A good friend can tell you what is the matter with you in a minute. He may not seem such a good friend after telling.
Arthur C. Clarke	A hundred failures would not matter, when one single success could change the destiny of the world.
Steve Maraboli	A lack of clarity could put the brakes on any journey to success.
Sunday Adelaja	A lack of knowledge always leads to defeat and destruction
Abhijit Naskar	A library is more precious than a bank.
Lord Samuel	A library is thought in cold storage.
Suzy Kassem	A life fueled by passions is like riding on the back of a dragon.
George Bernard Shaw	A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.
Thomas Jefferson	A little rebellion now and then is a good thing.
	A little rebellion now and then... is a medicine necessary for the sound health of government.
Zig Ziglar	A lot of people have gone further than they thought they could because someone else thought they could
Janvier Chouteu-Chando	A man has a hard time feeling fulfilled when he lives a life that does not serve a purpose that is more than himself.
Ralph Waldo Emerson	A man is known by the books he reads.
	A man's respect for law and order exists in precise relationship to the size of his paycheck.
Bill Gaede	A mathematician believes that describing the speed of Mercury with equations amounts to science.
Paul Erdos	A mathematician is a device for turning coffee into theorems.
Mary Kay Ash	A mediocre idea that generates enthusiasm will go further than a great idea that inspires no one.
Sir Joshua Reynolds	A mere copier of nature can never produce anything great.
Chuck Palahniuk	A minute of perfection was worth the effort. A moment was the most you could ever expect from perfection.
Benjamin Franklin	A Penny Saved is a Penny Earned
Kristy McMorlan	A person can influence a situation or the situation can influence a person.
	A polar bear is a rectangular bear after a coordinate transform.
David Lloyd George	A politician was a person with whose politics you did not agree. When you did agree, he was a statesman.
Rajen Jani	A positive change in approach improves quality.
Lord John Russell	A proverb is one man's wit and all men's wisdom.
Anthony Robbins	A real decision is measured by the fact that you've taken a new action. If there's no action, you haven't truly decided.
Walter Winchell	A real friend is one who walks in when the rest of the world walk out.
Marcus Tullius Cicero	A room without books is like a body without a soul.
Gordon Lindsay Glegg	A scientist can discover a new star but he cannot make one. He would have to ask an engineer to do it for him.
HOSEA BALLOU	A single bad habit will mar an otherwise faultless character, as an ink drop soileth the pure white page.
Leo Buscaglia	A single rose can be my garden… a single friend, my world.
Thomas Fuller	A stumble may prevent a fall.
	A sub-clerk in the post-office is the equal of a conqueror if consciousness is common to them.
Isaac Asimov	A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.
Colleen Houck	A tiger only needs three things to be comfortable. Lots of food, sleep, and…actually, no it's just those two things.
Benjamin Franklin	A true friend is the best Possession.
Voltaire	A witty saying proves nothing.
Toni Sorenson	A wolf searches the path for prey that has paused. Keep moving.
Marcus Aurelius	Accept whatever comes to you woven in the pattern of your destiny, for what could more aptly fit your needs?
Roy T. Bennett	Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.
Steve Maraboli	Accept yourself, your strengths, your weaknesses, your truths, and know what tools you have to fulfill your purpose.
Mario Puzo	Accidents don't happen to people who take accidents as a personal insult.
	According to my calculations, this problem doesn't exist.
Abraham Lincoln	Achievement has no color
Jiddu Krishnamurti	Acquiring knowledge is a form of imitation.
idowu koyenikan	Acquiring wisdom is great but it is not the goal, applying it is.
William James	Act as if what you do makes a difference. It does.
Mahatma Gandhi	Action expresses priorities.
Steve Maraboli	Action is the universal language of success.
Dale Carnegie	Actions speak louder than words, and a smile says, 'I like you. You make me happy. I am glad to see you.
Roy T. Bennett	Acts of Kindness: A random act of kindness, no matter how small, can make a tremendous impact on someone else's life. 
